Item	SKU	Area	Manufacturer	"MMRA Store"	"DA2 NOC Shelves"	"DF3 Store"	"Energy Centre Store"	"Fibre Store"	"JCs Office"	"Store 50"	"All Locations"	"Average Cost"	"Total Value"
"Fibre pigtails clear round protection end tube"	cus8881383	"Shelf 31-DA2"	" "	10	0	10	0	0	0	0	20	0	0
"Panduit patch panel module (Green)"	0066	"Shelf 42-DA2"	Panduit	24	0	80	0	0	0	0	104	0	0
"SM 1m LC-LC"	cus2188566	"Shelf 30-Ground-DA2"		0	0	25	0	25	0	0	50	0	0
"Cage Nuts (bags)"	0099	"Shelf 33-DA2"	" "	2	0	21	0	0	0	0	23	0	0
"Panduit patch panel module (Red)"	0067	"Shelf 42-DA2"	Panduit	50	0	18	0	0	0	0	68	0	0
"USB extension cable"	0256	"Shelf 28"	" "	0	5	17	0	0	0	0	22	0	0
"MM 15M LC-LC"	cus8881723	"Shelf 31"		5	0	14	0	0	0	0	19	0	0
"RJ45 cat6 connectors / plugs"	cus9592889	"Shelf 41-DA2"	" "	2	0	9	0	0	0	0	11	0	0
"SM 0.5M LC-LC"	cus8881451	"Shelf 41-DA2"		16	0	9	0	0	0	0	25	0	0
"32A PDU 20x C13 & 4x C19 (half)"	0020	"Shelf 26 "	" "	2	0	7	0	0	0	0	9	0	0
"MM 10M LC-LC"	cus8881724	"Shelf 30"		5	0	7	0	0	0	0	12	0	0
"SM 10M LC-LC"	cus9592926	"Shelf 30"		5	0	6	0	0	0	0	11	0	0
"HDMI Cable 1m"	0002	"Shelf 42-DA2"	"Amazon Basics"	10	0	5	0	0	0	0	15	0	0
"SM 20m LC-LC"	cus2143354	"Shelf 32 "		0	0	5	0	2	0	0	7	0	0
"SM 15m LC-LC"	cus2143355	"Shelf 30"		0	0	4	0	4	0	0	8	0	0
"Fibre patch panel"	0213	Shelf23-DA2	" "	2	0	3	0	0	0	0	5	0	0
"USB A to B cable"	0042	"Shelf 42-DA2"	" "	2	0	3	0	0	0	0	5	0	0
"Display Port to Display Port Cable (3 Meters)"	cus10641354	" "	"Amazon Basics"	2	0	3	0	0	0	0	5	0	0
"32A PDU 20 x C13 & 4 x C19 (LONG)"	0351	"Shelf 26 "	APC	1	0	3	0	0	0	0	4	0	0
"Fan heaters"	0142	" "	" "	7	0	2	0	0	0	0	9	0	0
"HP modular PDU extension bar"	0156	"Shelf 26 "	" "	5	0	2	0	0	0	0	7	0	0
"32A PDU 20 x C13 & 4 x C19 "	cus9629703	"Shelf 26 "	Integra	2	0	2	0	0	0	0	4	0	0
"1U PDU 12xC13 C19 extension connector"	cus9629704	"Shelf 26 "	APC	1	0	1	0	0	0	0	2	0	0
"Mikrotik CRS328-4C-20S-4S+RM"	cus8430531	"Shelf 25"	Mikrotik	0	0	1	0	0	0	1	2	0	0
"Panduit patch panel module (Grey)"	0064	"Shelf 42-DA2"	Panduit	39	0	1	0	0	0	0	40	0	0
"SmartOptics M-1601 DWDM"	0242	Store50	SmartOptics	0	0	1	0	0	0	2	3	0	0
"HDMI Cable - 2m"	cus9610645	"Shelf 42-DA2"	" "	21	2	0	0	0	0	0	23	0	0
"LC Attenuator - 5db"	cus2143632	"Shelf 42-DA2"	" "	0	4	0	0	7	0	0	11	0	0
"LC Attenuator - 7db"	cus2143631	"Shelf 42-DA2"	" "	0	4	0	0	9	0	0	13	0	0
"USB 3.0 Cable A-Male to B-Male 1m"	cus9889247	"DA2- Noc Shelves"	Dell	1	2	0	0	0	0	0	3	0	0
